condition,macro_f1_mean,macro_f1_std,f1_INTJ_mean,f1_INTJ_std,f1_DM_mean,f1_DM_std,f1_DIR_mean,f1_DIR_std,delta_vs_real_only
Real-only,0.44808268332912504,0.10346539435413671,0.04,0.12649110640673517,0.5579000535744723,0.20918542349481445,0.7463479964129031,0.03347904942537124,0.0
Real + all synthetic,0.5440386591769543,0.05465203639083251,0.25185455842806115,0.08326819483864958,0.719495696808395,0.11280442338880455,0.6607657222944068,0.08476922610733671,0.09595597584782922
Core-anchored,0.5384561157417131,0.044177219984808024,0.06685349737981314,0.08873883078607421,0.7708456353261756,0.06377533351783415,0.777669214519151,0.034362854595104825,0.0903734324125881
Boundary-sampled,0.44808268332912504,0.10346539435413671,0.04,0.12649110640673517,0.5579000535744723,0.20918542349481445,0.7463479964129031,0.03347904942537124,0.0
