,seed,fold,macro_f1,f1_INTJ,f1_DM,f1_DIR
mean,3.0,1.5,0.5384561157417134,0.06685349737981316,0.7708456353261756,0.777669214519151
std,1.4907119849998598,0.5270462766947299,0.044177219984808,0.08873883078607425,0.06377533351783415,0.034362854595104825
