seed,fold,macro_f1,f1_INTJ,f1_DM,f1_DIR
1,1,0.49831649831649827,0.0,0.7222222222222222,0.7727272727272727
1,2,0.5663301298731337,0.21052631578947367,0.7317073170731707,0.7567567567567568
2,1,0.6304066304066304,0.18181818181818182,0.8888888888888888,0.8205128205128205
2,2,0.48459065986008704,0.0,0.6976744186046512,0.7560975609756098
3,1,0.5373965985044008,0.13333333333333333,0.7391304347826086,0.7397260273972602
3,2,0.5243610957896673,0.0,0.8163265306122449,0.7567567567567568
4,1,0.5579975579975579,0.14285714285714285,0.7619047619047619,0.7692307692307693
4,2,0.5197646626218054,0.0,0.7755102040816326,0.7837837837837838
5,1,0.49513019280461146,0.0,0.717948717948718,0.7674418604651163
5,2,0.570267131242741,0.0,0.8571428571428571,0.8536585365853658
