,seed,fold,macro_f1,f1_INTJ,f1_DM,f1_DIR
mean,3.0,1.5,0.44808268332912504,0.04,0.5579000535744723,0.7463479964129031
std,1.4907119849998598,0.5270462766947299,0.10346539435413671,0.12649110640673517,0.20918542349481445,0.03347904942537124
